data,canal_id,regiao_id,sessoes
2021-07-01,1,1,82
2021-07-02,1,1,134
2021-07-03,1,1,112
2021-07-04,1,1,131
2021-07-05,1,1,130
2021-07-06,1,1,127
2021-07-07,1,1,103
2021-07-08,1,1,113
2021-07-09,1,1,92
2021-07-10,1,1,120
2021-07-11,1,1,104
2021-07-12,1,1,95
2021-07-13,1,1,124
2021-07-14,1,1,113
2021-07-15,1,1,93
2021-07-16,1,1,117
2021-07-17,1,1,131
2021-07-18,1,1,96
2021-07-19,1,1,93
2021-07-20,1,1,100
2021-07-21,1,1,101
2021-07-22,1,1,92
2021-07-23,1,1,130
2021-07-24,1,1,82
2021-07-25,1,1,127
2021-07-26,1,1,130
2021-07-27,1,1,110
2021-07-28,1,1,84
2021-07-29,1,1,81
2021-07-30,1,1,134
2021-07-31,1,1,42
2021-07-01,2,1,83
2021-07-02,2,1,69
2021-07-03,2,1,79
2021-07-04,2,1,72
2021-07-05,2,1,73
2021-07-06,2,1,68
2021-07-07,2,1,74
2021-07-08,2,1,91
2021-07-09,2,1,72
2021-07-10,2,1,84
2021-07-11,2,1,82
2021-07-12,2,1,65
2021-07-13,2,1,77
2021-07-14,2,1,76
2021-07-15,2,1,87
2021-07-16,2,1,68
2021-07-17,2,1,88
2021-07-18,2,1,75
2021-07-19,2,1,56
2021-07-20,2,1,87
2021-07-21,2,1,68
2021-07-22,2,1,66
2021-07-23,2,1,66
2021-07-24,2,1,73
2021-07-25,2,1,84
2021-07-26,2,1,75
2021-07-27,2,1,77
2021-07-28,2,1,77
2021-07-29,2,1,70
2021-07-30,2,1,78
2021-07-31,2,1,13
2021-07-01,3,1,6
2021-07-02,3,1,8
2021-07-03,3,1,7
2021-07-04,3,1,8
2021-07-05,3,1,5
2021-07-06,3,1,5
2021-07-07,3,1,6
2021-07-08,3,1,6
2021-07-09,3,1,5
2021-07-10,3,1,7
2021-07-11,3,1,6
2021-07-12,3,1,8
2021-07-13,3,1,5
2021-07-14,3,1,6
2021-07-15,3,1,7
2021-07-16,3,1,6
2021-07-17,3,1,7
2021-07-18,3,1,7
2021-07-19,3,1,6
2021-07-20,3,1,8
2021-07-21,3,1,6
2021-07-22,3,1,8
2021-07-23,3,1,7
2021-07-24,3,1,7
2021-07-25,3,1,5
2021-07-26,3,1,7
2021-07-27,3,1,6
2021-07-28,3,1,6
2021-07-29,3,1,6
2021-07-30,3,1,6
2021-07-31,3,1,15
2021-07-01,1,2,241
2021-07-02,1,2,260
2021-07-03,1,2,301
2021-07-04,1,2,236
2021-07-05,1,2,211
2021-07-06,1,2,256
2021-07-07,1,2,216
2021-07-08,1,2,303
2021-07-09,1,2,220
2021-07-10,1,2,223
2021-07-11,1,2,295
2021-07-12,1,2,197
2021-07-13,1,2,288
2021-07-14,1,2,259
